source_file,pareto_rank,row_i,col_j,solenoid_length_m,ri,rf,th,v,v_bore,b0,scan,je_tape,je_max,je_coil,stress,length_tape,j_crit,converged,f_tape_min,length_tape_km,pancake_length_m
thickness_grids_L5000mm.csv,84,55,149,5.0,1.5,1.5562295392099454,0.0562295392099454,35.34291735288517,35.34291735288517,8.405957584872858,1.1726934555935036,1663.315806350251,1663.3158063502513,139.427224306496,750.0000000000001,377130.7868023318,2772.1930105837523,True,0.0838248658337683,377.1307868023318,301.70462944186545
thickness_grids_L5000mm.csv,85,56,147,5.0,1.48,1.5382194495743435,0.0582194495743435,34.40672274211541,34.40672274211541,8.611003215845233,1.1646137073783769,1650.276200606445,1650.276200606445,137.48199987762072,750.0000000000001,383245.2136114642,2750.460334344075,True,0.0833084788031838,383.2452136114642,306.59617088917133
thickness_grids_L5000mm.csv,86,56,148,5.0,1.49,1.5482194495743435,0.0582194495743435,34.8732492511735,34.8732492511735,8.582058585323951,1.1285842452117438,1652.1032897621678,1652.1032897621678,137.26292903329454,750.0000000000001,384744.0634220927,2753.5054829369465,True,0.0830837453589566,384.7440634220927,307.79525073767417
thickness_grids_L5000mm.csv,87,56,149,5.0,1.5,1.5582194495743436,0.0582194495743435,35.34291735288517,35.34291735288517,8.553403885677305,1.093899340038574,1653.916455198232,1653.916455198232,137.04803170289517,749.9999999999998,386246.5401681842,2756.527425330387,True,0.0828627294154765,386.2465401681842,308.99723213454735
thickness_grids_L5000mm.csv,88,57,147,5.0,1.48,1.5402452141795415,0.0602452141795414,34.40672274211541,34.40672274211541,8.759533546457256,1.0876094748391616,1640.9697338321432,1640.969733832143,135.17505872177617,750.0000000000003,392400.34460711665,2734.949556386905,True,0.0823751078004973,392.40034460711666,313.9202756856933
thickness_grids_L5000mm.csv,89,57,148,5.0,1.49,1.5502452141795415,0.0602452141795414,34.8732492511735,34.8732492511735,8.730089652907845,1.0539622799130433,1642.8054404055586,1642.8054404055588,134.95973662882753,750.0000000000001,393928.9355089911,2738.009067342598,True,0.0821519903145134,393.9289355089911,315.1431484071929
thickness_grids_L5000mm.csv,90,57,149,5.0,1.5,1.5602452141795415,0.0602452141795414,35.34291735288517,35.34291735288517,8.700940691221641,1.0215707399017588,1644.627203647497,1644.6272036474968,134.74851671259214,749.9999999999999,395461.246021366,2741.0453394124947,True,0.0819325598006304,395.461246021366,316.3689968170928
thickness_grids_L5000mm.csv,91,58,147,5.0,1.48,1.5423068330255394,0.0623068330255393,34.40672274211541,34.40672274211541,8.908150433689862,1.016826212667702,1631.7723345712106,1631.7723345712106,132.94419134174868,750.0000000000002,401654.51925340376,2719.6205576186844,True,0.0814722670100195,401.65451925340375,321.323615402723
thickness_grids_L5000mm.csv,92,58,148,5.0,1.49,1.5523068330255394,0.0623068330255393,34.8732492511735,34.8732492511735,8.878206986164876,0.985368827847956,1633.6163258691652,1633.6163258691652,132.73249548949232,750.0000000000002,403212.9866002215,2722.6938764486085,True,0.0812507155980288,403.2129866002215,322.5703892801772
thickness_grids_L5000mm.csv,93,58,149,5.0,1.5,1.5623068330255394,0.0623068330255393,35.34291735288517,35.34291735288517,8.848563474406015,0.9550853780306212,1635.4463565866456,1635.4463565866458,132.52483280803096,750.0000000000003,404775.267649716,2725.7439276444097,True,0.0810328215745484,404.775267649716,323.8202141197728
thickness_grids_L5000mm.csv,94,59,147,5.0,1.48,1.5444043061123374,0.0644043061123372,34.40672274211541,34.40672274211541,9.056849616534096,0.9516741582814544,1622.6823039890437,1622.6823039890437,130.7857789158753,750.0000000000002,411008.12104884034,2704.470506648406,True,0.0805985118555642,411.00812104884034,328.8064968390723
thickness_grids_L5000mm.csv,95,60,145,5.0,1.46,1.526537633439935,0.0665376334399351,33.48309450196001,33.48309450196001,9.268464881584098,0.9500753834070343,1609.9360201190002,1609.9360201190002,129.1179764219039,750.0000000000002,417236.2776986516,2683.2267001983337,True,0.0802006879828429,417.2362776986516,333.7890221589213
